Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Male,29.0,Gain Muscle Mass,Small Arms,182,80,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,32.0,Increase Strength,Small Legs,170,58,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,34.0,Lose Weight,Big Belly,178,88,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,25.0,Gain Muscle Mass,Weak Chest,165,55,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,28.0,Increase Strength,Small Legs,186,94,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,36.0,Lose Weight,Big Belly,163,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,30.0,Gain Muscle Mass,Small Arms,180,82,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,40.0,Increase Strength,Small Legs,172,63,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,38.0,Lose Weight,Big Belly,175,85,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,45.0,Gain Muscle Mass,Weak Chest,169,70,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,42.0,Increase Strength,Small Legs,190,96,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,24.0,Lose Weight,Big Belly,160,56,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,31.0,Gain Muscle Mass,Small Arms,183,84,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,27.0,Increase Strength,Small Legs,174,59,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,36.0,Lose Weight,Big Belly,177,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,34.0,Gain Muscle Mass,Weak Chest,166,68,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,39.0,Increase Strength,Small Legs,188,92,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,22.0,Lose Weight,Big Belly,161,61,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,29.0,Gain Muscle Mass,Small Arms,181,81,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,32.0,Increase Strength,Small Legs,175,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,35.0,Lose Weight,Big Belly,179,89,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,37.0,Gain Muscle Mass,Weak Chest,170,66,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,40.0,Increase Strength,Small Legs,187,93,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,25.0,Lose Weight,Big Belly,162,58,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,28.0,Gain Muscle Mass,Small Arms,182,79,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,45.0,Increase Strength,Small Legs,173,64,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,38.0,Lose Weight,Big Belly,176,87,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,40.0,Gain Muscle Mass,Weak Chest,167,68,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,44.0,Increase Strength,Small Legs,189,98,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,23.0,Lose Weight,Big Belly,160,54,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,30.0,Gain Muscle Mass,Small Arms,181,83,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,27.0,Increase Strength,Small Legs,174,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,34.0,Lose Weight,Big Belly,178,88,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,25.0,Gain Muscle Mass,Weak Chest,165,55,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,28.0,Increase Strength,Small Legs,186,94,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,36.0,Lose Weight,Big Belly,163,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,30.0,Gain Muscle Mass,Small Arms,180,82,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,40.0,Increase Strength,Small Legs,172,63,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,38.0,Lose Weight,Big Belly,175,85,Beginner,7,Cardio,Cardio,Upper Body,Cardio,Lower Body,Cardio,Cardio
Female,45.0,Gain Muscle Mass,Weak Chest,169,70,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,42.0,Increase Strength,Small Legs,190,96,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,24.0,Lose Weight,Big Belly,160,56,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,31.0,Gain Muscle Mass,Small Arms,183,84,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,27.0,Increase Strength,Small Legs,174,59,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,36.0,Lose Weight,Big Belly,177,90,Beginner,7,Cardio,Cardio,Upper Body,Cardio,Lower Body,Cardio,Cardio
Female,34.0,Gain Muscle Mass,Weak Chest,166,68,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,39.0,Increase Strength,Small Legs,188,92,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,18.0,Lose Weight,Big Belly,171,75,Advanced,4,Cardio,Upper Body,Rest,Lower Body,Cardio,Rest,Rest
Male,18.0,Gain Muscle Mass,Small Arms,173,69,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Male,18.0,Gain Muscle Mass,Weak Chest,180,79,Beginner,3,Upper Body,Rest,Rest,Lower Body,Upper Body,Rest,Rest
Female,18.0,Increase Strength,Small Legs,163,55,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Cardio,Rest,Rest
Female,22.0,Lose Weight,Big Belly,165,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,25.0,Gain Muscle Mass,Small Arms,178,85,Advanced,5,Chest Day,Back Day,Lower Body,Rest,Leg Day,Arm Day,Rest
Female,30.0,Increase Strength,Small Legs,160,55,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,14.0,Lose Weight,Big Belly,150,45,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,15.0,Gain Muscle Mass,Small Arms,155,50,Beginner,3,Upper Body,Rest,Lower Body,Rest,Upper Body,Rest,Rest
Male,16.0,Increase Strength,Small Legs,160,55,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Female,17.0,Lose Weight,Weak Chest,165,60,Intermediate,4,Cardio,Upper Body,Rest,Lower Body,Cardio,Rest,Rest
Male,18.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,19.0,Increase Strength,Big Belly,175,70,Advanced,5,Upper Body,Lower Body,Back Day,Rest,Leg Day,Arm Day,Rest
Male,20.0,Lose Weight,Small Arms,180,75,Advanced,5,Cardio,Upper Body,Rest,Lower Body,Cardio,Cardio,Rest
Female,21.0,Gain Muscle Mass,Weak Chest,185,80,Beginner,3,Upper Body,Rest,Rest,Lower Body,Upper Body,Rest,Rest
Male,22.0,Increase Strength,Small Legs,190,85,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Cardio,Rest,Rest
Female,23.0,Lose Weight,Big Belly,195,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,24.0,Gain Muscle Mass,Small Arms,200,95,Advanced,5,Chest Day,Back Day,Cardio,Rest,Leg Day,Arm Day,Rest
Female,25.0,Increase Strength,Weak Chest,160,60,Advanced,5,Upper Body,Cardio,Lower Body,Back Day,Rest,Leg Day,Rest
Male,26.0,Lose Weight,Small Legs,165,65,Intermediate,4,Cardio,Lower Body,Rest,Upper Body,Rest,Back Day,Rest
Female,27.0,Gain Muscle Mass,Big Belly,170,70,Advanced,5,Upper Body,Lower Body,Rest,Chest Day,Back Day,Rest,Leg Day
Male,28.0,Increase Strength,Small Arms,175,75,Beginner,3,Lower Body,Rest,Rest,Rest,Lower Body,Rest,Back Day
Female,29.0,Lose Weight,Weak Chest,180,80,Intermediate,4,Cardio,Rest,Back Day,Rest,Leg Day,Upper Body,Rest
Male,30.0,Gain Muscle Mass,Small Legs,185,85,Advanced,5,Chest Day,Back Day,Lower Body,Rest,Back Day,Leg Day,Rest
Female,14.0,Lose Weight,Big Belly,150,45,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,15.0,Gain Muscle Mass,Small Arms,155,50,Beginner,3,Upper Body,Rest,Lower Body,Rest,Upper Body,Rest,Rest
Female,16.0,Increase Strength,Small Legs,160,55,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,17.0,Lose Weight,Weak Chest,165,60,Intermediate,4,Cardio,Upper Body,Rest,Lower Body,Cardio,Rest,Rest
Female,18.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Male,19.0,Increase Strength,Big Belly,175,70,Advanced,5,Upper Body,Lower Body,Back Day,Rest,Leg Day,Arm Day,Rest
Female,20.0,Lose Weight,Small Arms,180,75,Advanced,5,Cardio,Upper Body,Rest,Lower Body,Cardio,Cardio,Rest
Male,21.0,Gain Muscle Mass,Weak Chest,185,80,Beginner,3,Upper Body,Rest,Rest,Lower Body,Upper Body,Rest,Rest
Female,22.0,Increase Strength,Small Legs,190,85,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Cardio,Rest,Rest
Male,23.0,Lose Weight,Big Belly,195,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,24.0,Gain Muscle Mass,Small Arms,200,95,Advanced,5,Chest Day,Back Day,Cardio,Rest,Leg Day,Arm Day,Rest
Male,33.0,Increase Strength,Weak Chest,160,60,Advanced,5,Upper Body,Lower Body,Cardio,Back Day,Rest,Leg Day,Rest
Female,26.0,Lose Weight,Small Legs,165,65,Intermediate,4,Cardio,Lower Body,Rest,Upper Body,Rest,Back Day,Rest
Male,27.0,Gain Muscle Mass,Big Belly,170,70,Advanced,5,Upper Body,Lower Body,Rest,Lower Body,Back Day,Rest,Leg Day
Female,28.0,Increase Strength,Small Arms,175,75,Beginner,3,Lower Body,Upper Body,Rest,Rest,Lower Body,Rest,Rest
Male,29.0,Lose Weight,Weak Chest,180,80,Intermediate,4,Cardio,Rest,Back Day,Rest,Leg Day,Upper Body,Rest
Female,30.0,Gain Muscle Mass,Small Legs,185,85,Advanced,5,Chest Day,Back Day,Upper Body,Rest,Back Day,Leg Day,Rest
Male,14.0,Lose Weight,Big Belly,150,45,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,15.0,Gain Muscle Mass,Small Arms,155,50,Beginner,3,Upper Body,Rest,Lower Body,Rest,Upper Body,Rest,Rest
Male,16.0,Increase Strength,Small Legs,160,55,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Female,17.0,Lose Weight,Weak Chest,165,60,Intermediate,4,Cardio,Upper Body,Rest,Lower Body,Cardio,Rest,Rest
Male,18.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,33.0,Increase Strength,Big Belly,175,70,Advanced,5,Upper Body,Lower Body,Back Day,Rest,Leg Day,Arm Day,Rest
Male,20.0,Lose Weight,Small Arms,180,75,Advanced,5,Cardio,Upper Body,Rest,Lower Body,Cardio,Cardio,Rest
Female,21.0,Gain Muscle Mass,Weak Chest,185,80,Beginner,3,Upper Body,Rest,Rest,Lower Body,Upper Body,Rest,Rest
Male,22.0,Increase Strength,Small Legs,190,85,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Cardio,Rest,Rest
Female,23.0,Lose Weight,Big Belly,195,90,Intermediate,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,33.0,Gain Muscle Mass,Small Arms,200,95,Advanced,5,Chest Day,Back Day,Upper Body,Rest,Leg Day,Arm Day,Rest
Female,25.0,Increase Strength,Weak Chest,160,60,Advanced,5,Upper Body,Lower Body,Cardio,Back Day,Rest,Leg Day,Rest
Male,26.0,Lose Weight,Small Legs,165,65,Intermediate,4,Cardio,Lower Body,Rest,Upper Body,Rest,Back Day,Rest
Female,33.0,Gain Muscle Mass,Big Belly,170,70,Advanced,5,Upper Body,Arm Day,Rest,Lower Body,Back Day,Rest,Leg Day
Male,28.0,Increase Strength,Small Arms,175,75,Beginner,3,Lower Body,Upper Body,Rest,Rest,Lower Body,Rest,Rest
Male,28.0,Increase Strength,Small Arms,175,75,Beginner,3,Lower Body,Upper Body,Rest,Rest,Lower Body,Rest,Rest
Male,31.0,Gain Muscle Mass,Small Arms,175,75,Advanced,1,Chest Day,Rest,Rest,Rest,Rest,Rest,Rest
Female,32.0,Lose Weight,Big Belly,160,60,Intermediate,1,Cardio,Rest,Rest,Cardio,Rest,Rest,Rest
Male,33.0,Increase Strength,Small Arms,170,65,Intermediate,1,Upper Body,Rest,Rest,Rest,Rest,Rest,Rest
Female,34.0,Lose Weight,Weak Chest,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Cardio,Rest
Male,35.0,Gain Muscle Mass,Small Arms,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Upper Body,Lower Body
Female,36.0,Increase Strength,Small Legs,175,75,Intermediate,2,Leg Day,Rest,Rest,Full Body,Rest,Rest,Rest
Male,37.0,Lose Weight,Big Belly,160,60,Beginner,2,Cardio,Rest,Rest,Full Body,Rest,Rest,Rest
Female,38.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,2,Upper Body,Rest,Rest,Lower Body,Rest,Rest,Rest
Male,39.0,Increase Strength,Small Legs,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Rest,Rest
Female,40.0,Lose Weight,Weak Chest,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Upper Body,Lower Body
Male,41.0,Gain Muscle Mass,Small Arms,175,75,Intermediate,3,Upper Body,Lower Body,Rest,Rest,Full Body,Rest,Rest
Female,42.0,Lose Weight,Big Belly,160,60,Beginner,3,Cardio,Rest,Full Body,Rest,Cardio,Rest,Rest
Male,43.0,Increase Strength,Small Legs,170,65,Intermediate,3,Upper Body,Lower Body,Rest,Rest,Full Body,Rest,Rest
Female,44.0,Lose Weight,Weak Chest,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Cardio,Rest
Male,45.0,Gain Muscle Mass,Small Arms,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Upper Body,Lower Body
Female,46.0,Increase Strength,Small Legs,175,75,Intermediate,1,Full Body,Rest,Rest,Rest,Rest,Rest,Rest
Male,47.0,Lose Weight,Big Belly,160,60,Beginner,2,Cardio,Rest,Rest,Cardio,Rest,Rest,Rest
Female,48.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,3,Upper Body,Lower Body,Rest,Rest,Full Body,Rest,Rest
Male,49.0,Increase Strength,Small Legs,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Cardio,Rest
Female,50.0,Lose Weight,Weak Chest,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Cardio,Cardio
Male,51.0,Gain Muscle Mass,Small Arms,175,75,Intermediate,1,Full Body,Rest,Rest,Rest,Rest,Rest,Rest
Female,52.0,Lose Weight,Big Belly,160,60,Beginner,2,Cardio,Rest,Rest,Full Body,Rest,Rest,Rest
Male,53.0,Increase Strength,Small Legs,170,65,Intermediate,3,Upper Body,Lower Body,Rest,Rest,Full Body,Rest,Rest
Female,54.0,Lose Weight,Weak Chest,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Cardio,Cardio
Male,55.0,Gain Muscle Mass,Small Arms,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Rest,Rest
Female,56.0,Increase Strength,Small Legs,175,75,Intermediate,1,Full Body,Rest,Rest,Rest,Rest,Rest,Rest
Male,57.0,Lose Weight,Big Belly,160,60,Beginner,2,Cardio,Rest,Rest,Full Body,Rest,Rest,Rest
Female,58.0,Gain Muscle Mass,Small Arms,170,65,Intermediate,3,Upper Body,Lower Body,Rest,Rest,Full Body,Rest,Rest
Male,59.0,Increase Strength,Small Legs,185,85,Advanced,6,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Rest,Rest
Female,60.0,Lose Weight,Weak Chest,165,60,Beginner,7,Chest Day,Back Day,Leg Day,Arm Day,Cardio,Upper Body,Lower Body
Male,61.0,Gain Muscle Mass,Small Arms,175,75,Intermediate,1,Full Body,Rest,Rest,Rest,Rest,Rest,Rest
